task,worker,answer
1,1,2
2,1,2
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
13,1,2
14,1,1
15,1,1
16,1,2
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,2
23,1,2
24,1,2
25,1,2
26,1,1
28,1,1
32,1,1
33,1,1
34,1,2
36,1,1
37,1,2
39,1,2
40,1,1
42,1,1
43,1,1
44,1,2
45,1,1
46,1,2
47,1,2
48,1,2
50,1,2
52,1,1
53,1,1
54,1,2
56,1,2
57,1,1
58,1,1
59,1,2
62,1,2
63,1,1
64,1,1
65,1,2
66,1,1
67,1,1
68,1,2
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
75,1,1
76,1,2
77,1,2
78,1,2
79,1,2
81,1,2
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
88,1,2
89,1,2
91,1,1
93,1,2
94,1,2
95,1,2
96,1,2
97,1,2
98,1,1
99,1,1
101,1,1
102,1,1
103,1,2
104,1,2
105,1,2
107,1,2
108,1,1
109,1,2
110,1,2
111,1,2
112,1,2
114,1,1
115,1,1
116,1,2
118,1,2
120,1,1
121,1,1
122,1,2
125,1,1
126,1,1
127,1,2
128,1,1
129,1,2
130,1,1
131,1,2
133,1,2
134,1,1
135,1,2
137,1,1
138,1,2
140,1,2
142,1,1
143,1,1
144,1,1
145,1,1
147,1,1
149,1,2
150,1,1
151,1,2
152,1,1
153,1,2
156,1,2
157,1,1
158,1,1
159,1,1
160,1,2
162,1,2
165,1,1
166,1,2
169,1,2
170,1,2
171,1,2
172,1,2
173,1,1
174,1,1
175,1,1
176,1,1
177,1,2
178,1,2
179,1,1
180,1,2
182,1,1
183,1,1
184,1,2
185,1,1
186,1,1
187,1,1
189,1,1
190,1,1
191,1,1
192,1,2
193,1,1
194,1,1
195,1,2
196,1,1
197,1,1
198,1,1
200,1,2
201,1,1
202,1,1
203,1,1
205,1,2
207,1,1
208,1,2
211,1,1
212,1,1
213,1,2
214,1,2
215,1,1
216,1,2
217,1,1
218,1,1
219,1,2
220,1,1
221,1,2
223,1,2
224,1,2
225,1,1
227,1,2
228,1,1
229,1,2
230,1,1
231,1,2
235,1,2
236,1,1
237,1,2
238,1,1
239,1,2
240,1,2
242,1,1
244,1,2
245,1,2
246,1,1
247,1,1
251,1,2
252,1,1
253,1,2
254,1,2
255,1,1
256,1,2
257,1,2
258,1,1
260,1,1
261,1,2
262,1,2
263,1,2
264,1,2
267,1,2
268,1,1
269,1,2
271,1,1
272,1,1
273,1,2
274,1,1
275,1,2
276,1,1
277,1,2
279,1,2
280,1,1
281,1,1
283,1,1
