gt,types
2,Basketball
1,Basketball
1,Football
2,Baseball
1,Football
1,Soccer
1,Football
1,Basketball
1,Baseball
1,Football
1,Soccer
2,Baseball
2,Football
1,Football
1,Basketball
2,Baseball
1,Baseball
1,Football
2,Football
1,Soccer
1,Football
1,Football
1,Football
2,Baseball
2,Soccer
1,Soccer
2,Football
2,Soccer
2,Football
2,Football
1,Baseball
1,Soccer
1,Football
2,Soccer
2,Football
1,Basketball
2,Basketball
1,Baseball
2,Basketball
2,Football
1,Football
1,Baseball
2,Basketball
1,Basketball
2,Football
1,Basketball
1,Football
1,Football
1,Baseball
2,Soccer
2,Soccer
1,Baseball
2,Football
2,Soccer
1,Basketball
2,Baseball
1,Basketball
1,Soccer
1,Football
1,Baseball
1,Football
1,Basketball
1,Basketball
1,Baseball
2,Basketball
1,Soccer
1,Football
2,Basketball
1,Soccer
1,Football
1,Basketball
1,Football
1,Baseball
2,Football
1,Baseball
1,Football
2,Football
2,Basketball
2,Football
2,Baseball
1,Football
2,Football
2,Football
2,Basketball
1,Basketball
2,Baseball
2,Football
1,Baseball
1,Basketball
2,Soccer
1,Basketball
1,Soccer
1,Baseball
1,Baseball
2,Football
1,Basketball
2,Soccer
1,Baseball
1,Soccer
2,Soccer
1,Soccer
1,Football
2,Basketball
2,Baseball
2,Baseball
1,Soccer
1,Football
1,Soccer
2,Soccer
2,Soccer
1,Basketball
2,Soccer
2,Soccer
1,Basketball
1,Soccer
2,Soccer
2,Basketball
1,Football
1,Football
1,Football
2,Football
2,Baseball
1,Basketball
2,Basketball
2,Basketball
2,Football
2,Football
1,Baseball
2,Basketball
1,Soccer
1,Baseball
1,Football
2,Soccer
1,Soccer
2,Baseball
1,Football
1,Baseball
1,Basketball
2,Basketball
1,Football
1,Basketball
2,Baseball
1,Basketball
2,Baseball
1,Baseball
1,Soccer
1,Football
1,Soccer
2,Basketball
2,Baseball
1,Football
1,Basketball
2,Soccer
1,Soccer
2,Football
2,Basketball
1,Football
1,Soccer
2,Basketball
2,Soccer
2,Soccer
2,Baseball
2,Soccer
1,Basketball
1,Baseball
1,Football
1,Soccer
1,Basketball
2,Football
1,Basketball
2,Basketball
2,Basketball
1,Soccer
1,Baseball
1,Football
2,Baseball
2,Baseball
2,Soccer
2,Football
1,Baseball
2,Football
1,Baseball
1,Football
1,Football
1,Soccer
1,Soccer
1,Soccer
2,Football
1,Basketball
1,Football
1,Football
1,Baseball
2,Baseball
1,Soccer
2,Soccer
2,Football
1,Football
2,Baseball
2,Football
1,Soccer
2,Basketball
1,Football
2,Football
1,Basketball
2,Football
1,Baseball
1,Soccer
1,Baseball
2,Basketball
2,Soccer
2,Basketball
1,Soccer
2,Soccer
2,Football
2,Football
1,Football
1,Soccer
1,Baseball
1,Football
1,Baseball
2,Basketball
2,Basketball
2,Basketball
2,Soccer
1,Soccer
2,Basketball
1,Basketball
1,Football
2,Basketball
2,Football
2,Baseball
1,Soccer
1,Football
2,Soccer
1,Baseball
1,Football
2,Football
1,Baseball
2,Basketball
2,Football
2,Soccer
1,Soccer
1,Baseball
2,Basketball
1,Football
1,Soccer
1,Baseball
1,Football
1,Baseball
2,Baseball
2,Baseball
1,Baseball
2,Football
2,Basketball
1,Football
2,Football
1,Football
2,Football
2,Basketball
1,Baseball
2,Baseball
2,Soccer
1,Football
1,Baseball
1,Basketball
1,Basketball
1,Basketball
2,Football
1,Basketball
1,Football
2,Basketball
2,Football
2,Basketball
1,Baseball
2,Soccer
1,Basketball
2,Basketball
1,Baseball
2,Baseball
1,Soccer
2,Baseball
2,Football
2,Baseball
2,Soccer
1,Baseball
1,Baseball
2,Soccer
1,Basketball
2,Football
1,Baseball
1,Basketball
1,Baseball
2,Basketball
1,Soccer
2,Soccer
1,Baseball
2,Football
1,Football
1,Soccer
2,Basketball
2,Football
2,Soccer
1,Football
2,Soccer
1,Football
1,Baseball
1,Football
1,Basketball
1,Basketball
1,Baseball
2,Baseball
2,Baseball
1,Football
1,Football
2,Basketball
1,Football
2,Football
2,Football
2,Baseball
1,Football
2,Football
1,Football
1,Baseball
1,Basketball
2,Soccer
2,Basketball
1,Basketball
2,Baseball
2,Soccer
1,Basketball
2,Soccer
1,Basketball
2,Baseball
2,Soccer
1,Baseball
1,Basketball
2,Baseball
2,Soccer
2,Basketball
1,Baseball
1,Football
2,Baseball
1,Baseball
1,Football
2,Basketball
1,Football
1,Baseball
2,Baseball
1,Soccer
1,Basketball
2,Basketball
2,Soccer
1,Basketball
1,Basketball
2,Football
2,Basketball
1,Soccer
2,Basketball
1,Basketball
2,Soccer
2,Basketball
2,Baseball
2,Baseball
1,Football
1,Basketball
1,Baseball
1,Baseball
1,Soccer
2,Soccer
2,Basketball
2,Basketball
2,Basketball
1,Baseball
2,Basketball
2,Football
2,Basketball
2,Football
1,Soccer
2,Football
1,Baseball
1,Football
1,Football
2,Baseball
1,Basketball
1,Football
2,Soccer
1,Soccer
1,Soccer
2,Soccer
1,Soccer
2,Baseball
2,Football
1,Football
2,Basketball
2,Basketball
1,Basketball
2,Football
1,Basketball
1,Football
2,Soccer
1,Soccer
2,Football
1,Soccer
2,Baseball
2,Baseball
2,Football
2,Baseball
2,Football
2,Soccer
2,Soccer
2,Football
1,Football
2,Baseball
1,Football
1,Football
2,Soccer
2,Baseball
1,Soccer
2,Soccer
2,Football
1,Soccer
1,Football
1,Football
1,Soccer
2,Basketball
1,Basketball
1,Baseball
1,Baseball
1,Football
1,Soccer
2,Soccer
2,Football
2,Basketball
1,Baseball
2,Football
2,Basketball
2,Baseball
2,Basketball
2,Basketball
2,Football
1,Basketball
2,Soccer
2,Football
2,Football
1,Football
2,Baseball
2,Football
1,Baseball
1,Football
2,Baseball
2,Football
2,Baseball
1,Baseball
2,Football
1,Football
2,Baseball
2,Basketball
2,Baseball
2,Basketball
1,Baseball
2,Football
2,Soccer
2,Football
1,Basketball
2,Basketball
1,Football
1,Baseball
1,Football
1,Baseball
1,Football
1,Football
2,Soccer
2,Football
1,Basketball
1,Football
1,Football
1,Baseball
2,Football
2,Baseball
1,Soccer
2,Baseball
2,Basketball
2,Basketball
1,Football
1,Soccer
2,Soccer
1,Football
2,Soccer
1,Baseball
1,Baseball
2,Basketball
2,Football
2,Baseball
2,Soccer
1,Soccer
2,Baseball
1,Soccer
2,Soccer
2,Basketball
1,Baseball
